No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1516,CMPO,"CompoSecure, Inc.",Industrials,Metal Fabrication,USA,353.51M,6.82,4.87,5.18%,"42,497"
1517,CMPOW,"CompoSecure, Inc.",Industrials,Metal Fabrication,USA,-,-,0.67,3.08%,"47,002"
1518,CMPR,Cimpress plc,Communication Services,Advertising Agencies,Ireland,673.50M,-,27.07,5.45%,"105,904"
1519,CMPS,COMPASS Pathways plc,Healthcare,Medical Care Facilities,United Kingdom,380.17M,-,8.45,-5.38%,"203,743"
1520,CMPX,"Compass Therapeutics, Inc.",Healthcare,Biotechnology,USA,663.81M,-,5.41,2.85%,"468,238"
1522,CMRE,Costamare Inc.,Industrials,Marine Shipping,Monaco,1.11B,2.28,9.06,2.72%,"432,083"
1523,CMRX,"Chimerix, Inc.",Healthcare,Biotechnology,USA,172.59M,1.06,1.84,-6.12%,"915,798"
1524,CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,USA,18.16B,25.55,63.62,1.68%,"1,269,223"
1525,CMT,"Core Molding Technologies, Inc.",Basic Materials,Specialty Chemicals,USA,108.49M,13.71,12.60,3.62%,"8,196"
1526,CMTG,"Claros Mortgage Trust, Inc.",Real Estate,REIT - Mortgage,USA,2.18B,14.30,15.70,-0.19%,"159,794"
1527,CMTL,Comtech Telecommunications Corp.,Technology,Communication Equipment,USA,340.85M,-,12.04,-1.87%,"65,799"
1528,CMU,MFS High Yield Municipal Trust,Financial,Closed-End Fund - Debt,USA,88.37M,8.67,3.12,0.00%,"159,933"
1529,CN,Xtrackers MSCI All China Equity ETF,Financial,Exchange Traded Fund,USA,-,-,28.22,-0.33%,"3,333"
1530,CNA,CNA Financial Corporation,Financial,Insurance - Property & Casualty,USA,11.23B,12.51,41.85,0.97%,"78,912"
1531,CNBS,Amplify Growth Opportunities ETF,Financial,Exchange Traded Fund,USA,-,-,5.13,1.18%,"54,136"
1532,CNC,Centene Corporation,Healthcare,Healthcare Plans,USA,46.57B,23.83,81.63,-0.74%,"2,451,509"
1533,CNCE,"Concert Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,237.80M,-,4.87,-1.81%,"245,467"
1534,CNCR,Loncar Cancer Immunotherapy ETF,Financial,Exchange Traded Fund,USA,-,-,13.76,-2.20%,"8,246"
1535,CNDA,Concord Acquisition Corp II,Financial,Shell Companies,USA,347.15M,33.37,9.91,-0.05%,"1,536"
1536,CNDT,Conduent Incorporated,Technology,Information Technology Services,USA,883.12M,9.34,4.13,0.98%,"522,156"
1537,CNET,ZW Data Action Technologies Inc.,Communication Services,Advertising Agencies,China,18.10M,-,0.50,-0.79%,"1,680,214"
1538,CNEY,CN Energy Group. Inc.,Basic Materials,Specialty Chemicals,China,18.47M,80.00,0.80,5.25%,"596,488"
1539,CNF,CNFinance Holdings Limited,Financial,Mortgage Finance,China,127.59M,-,1.74,-6.45%,"68,488"
1540,CNFR,"Conifer Holdings, Inc.",Financial,Insurance - Property & Casualty,USA,19.17M,-,1.57,1.95%,44
1542,CNI,Canadian National Railway Company,Industrials,Railroads,Canada,80.69B,23.32,120.44,0.68%,"660,782"
1543,CNK,"Cinemark Holdings, Inc.",Communication Services,Entertainment,USA,1.13B,-,8.64,-7.79%,"4,630,960"
1544,CNM,"Core & Main, Inc.",Industrials,Industrial Distribution,USA,4.74B,9.08,19.16,-0.62%,"549,589"
1545,CNMD,CONMED Corporation,Healthcare,Medical Devices,USA,2.64B,-,86.81,0.37%,"195,577"
1546,CNNE,"Cannae Holdings, Inc.",Consumer Cyclical,Restaurants,USA,1.57B,-,19.99,-0.45%,"444,986"
1547,CNO,"CNO Financial Group, Inc.",Financial,Insurance - Life,USA,2.58B,5.83,22.86,1.46%,"409,380"
1548,CNOB,"ConnectOne Bancorp, Inc.",Financial,Banks - Regional,USA,951.21M,8.09,24.34,0.41%,"90,884"
1549,CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Gas,USA,19.08B,21.28,30.69,1.25%,"2,126,283"
1550,CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas E&P,Canada,58.94B,7.43,55.83,4.67%,"1,458,148"
1551,CNRG,SPDR Kensho Clean Power ETF,Financial,Exchange Traded Fund,USA,-,-,83.07,-0.30%,"13,649"
1552,CNS,"Cohen & Steers, Inc.",Financial,Asset Management,USA,3.04B,15.35,63.18,1.22%,"71,001"
1553,CNSL,"Consolidated Communications Holdings, Inc.",Communication Services,Telecom Services,USA,427.01M,-,3.80,2.70%,"168,675"
1554,CNSP,"CNS Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,2.80M,-,2.19,4.29%,"8,725"
1555,CNTA,Centessa Pharmaceuticals plc,Healthcare,Biotechnology,United Kingdom,307.40M,-,3.28,0.92%,"14,839"
1556,CNTB,Connect Biopharma Holdings Limited,Healthcare,Biotechnology,China,40.00M,-,0.76,-1.44%,"17,780"
1557,CNTG,Centogene N.V.,Healthcare,Diagnostics & Research,Germany,19.00M,-,0.95,12.80%,"5,508"
1558,CNTX,Context Therapeutics Inc.,Healthcare,Biotechnology,USA,9.90M,-,0.63,1.87%,"40,417"
1559,CNTY,"Century Casinos, Inc.",Consumer Cyclical,Resorts & Casinos,USA,207.27M,13.99,7.05,1.59%,"30,073"
1560,CNX,CNX Resources Corporation,Energy,Oil & Gas E&P,USA,2.99B,-,17.08,2.95%,"1,810,589"
1562,CNXC,Concentrix Corporation,Technology,Information Technology Services,USA,6.71B,15.02,129.56,-0.28%,"240,014"
1563,CNXN,"PC Connection, Inc.",Technology,Electronics & Computer Distribution,USA,1.25B,13.58,47.71,-0.06%,"44,402"
1564,CNXT,VanEck ChiNext ETF,Financial,Exchange Traded Fund,USA,-,-,30.12,0.07%,122
1565,CNYA,iShares MSCI China A ETF,Financial,Exchange Traded Fund,USA,-,-,30.39,0.23%,"22,014"
1566,COCO,"The Vita Coco Company, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,USA,762.24M,107.64,13.67,0.29%,"81,571"
1567,COCP,"Cocrystal Pharma, Inc.",Healthcare,Biotechnology,USA,17.10M,-,1.97,-6.19%,"44,404"
1568,CODA,"Coda Octopus Group, Inc.",Industrials,Aerospace & Defense,USA,75.48M,21.89,7.09,2.07%,"6,964"
1569,CODI,Compass Diversified,Industrials,Conglomerates,USA,1.21B,1202.00,18.03,7.39%,"393,013"
1570,CODX,"Co-Diagnostics, Inc.",Healthcare,Diagnostics & Research,USA,79.10M,5.53,2.55,-0.39%,"93,061"
1571,COE,51Talk Online Education Group,Consumer Defensive,Education & Training Services,China,33.90M,0.64,6.13,0.81%,"19,647"
1572,COEP,"Coeptis Therapeutics, Inc.",Healthcare,Biotechnology,USA,6.30M,2.23,1.39,12.10%,"42,340"
1573,COF,Capital One Financial Corporation,Financial,Credit Services,USA,34.16B,4.49,90.69,1.34%,"1,902,561"
1574,COGT,"Cogent Biosciences, Inc.",Healthcare,Biotechnology,USA,768.75M,-,10.99,-0.09%,"567,111"
1575,COHN,Cohen & Company Inc.,Financial,Capital Markets,USA,14.59M,-,8.79,3.29%,"2,744"
1576,COHR,Coherent Corp.,Technology,Scientific & Technical Instruments,USA,4.64B,84.20,33.09,-1.14%,"943,449"
1577,COHU,"Cohu, Inc.",Technology,Semiconductor Equipment & Materials,USA,1.51B,16.12,31.57,-0.66%,"95,285"
1578,COIN,"Coinbase Global, Inc.",Technology,Software - Application,USA,7.85B,-,35.49,2.60%,"8,222,704"
1579,COKE,"Coca-Cola Consolidated, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,USA,4.82B,17.35,522.81,1.63%,"15,483"
1580,COLB,"Columbia Banking System, Inc.",Financial,Banks - Regional,USA,2.34B,10.29,29.51,-0.97%,"1,052,167"
1582,COLI,Colicity Inc.,Financial,Shell Companies,USA,347.41M,22.89,10.07,0.00%,"7,445"
1583,COLIU,Colicity Inc.,Financial,Shell Companies,USA,-,31.23,10.06,-0.05%,"3,165"
1584,COLL,"Collegium Pharmaceutical, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,771.00M,-,22.96,-0.04%,"106,575"
1585,COLM,Columbia Sportswear Company,Consumer Cyclical,Apparel Manufacturing,USA,5.34B,16.10,85.91,0.01%,"197,508"
1586,COM,Direxion Auspice Broad Commodity Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,29.52,0.44%,"86,818"
1587,COMB,GraniteShares Bloomberg Commodity Broad Strategy No K-1 ETF,Financial,Exchange Traded Fund,USA,-,-,29.44,1.34%,"32,588"
1588,COMM,"CommScope Holding Company, Inc.",Technology,Communication Equipment,USA,1.50B,-,7.11,-1.25%,"1,587,960"
1589,COMP,"Compass, Inc.",Technology,Software - Application,USA,975.51M,-,2.25,0.45%,"1,497,579"
1590,COMS,COMSovereign Holding Corp.,Communication Services,Telecom Services,USA,17.27M,-,0.07,-6.73%,"35,319,344"
1591,COMT,iShares GSCI Commodity Dynamic Roll Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,28.00,1.86%,"1,897,205"
1592,CONL,GraniteShares 1.5x Long Coinbas,Financial,Exchange Traded Fund,USA,-,-,4.62,3.80%,"31,683"
1593,CONN,"Conn's, Inc.",Consumer Cyclical,Specialty Retail,USA,157.07M,-,6.55,-0.15%,"192,379"
1594,CONX,CONX Corp.,Financial,Shell Companies,USA,934.02M,27.76,9.97,0.05%,"5,369"
1595,COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,USA,16.33B,42.87,332.73,0.57%,"234,186"
1596,COOK,"Traeger, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,322.50M,-,2.66,1.14%,"525,130"
1597,COOL,Corner Growth Acquisition Corp.,Financial,Shell Companies,USA,485.50M,27.82,9.71,0.00%,283
1598,COOLU,Corner Growth Acquisition Corp.,Financial,Shell Companies,USA,465.90M,36.88,9.62,2.96%,16
1599,COOP,Mr. Cooper Group Inc.,Financial,Mortgage Finance,USA,2.84B,2.83,40.74,1.07%,"218,751"
1600,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,140.68B,8.40,117.05,4.32%,"5,001,719"
1602,CORN,Teucrium Corn Fund,Financial,Exchange Traded Fund,USA,-,-,26.36,0.34%,"153,474"
1603,CORP,PIMCO Investment Grade Corporate Bond Index ETF,Financial,Exchange Traded Fund,USA,-,-,94.45,-0.31%,"301,891"
1604,CORR,"CorEnergy Infrastructure Trust, Inc.",Real Estate,REIT - Diversified,USA,33.51M,-,2.20,4.27%,"75,448"
1605,CORT,Corcept Therapeutics Incorporated,Healthcare,Biotechnology,USA,2.22B,20.77,20.65,0.24%,"523,340"
1606,CORZ,"Core Scientific, Inc.",Technology,Software - Infrastructure,USA,32.91M,-,0.11,28.91%,"260,264,384"
1607,COSM,Cosmos Holdings Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,USA,55.10M,-,6.40,-9.86%,"2,684,262"
1608,COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,USA,203.59B,34.97,462.65,0.86%,"1,229,523"
1609,COTY,Coty Inc.,Consumer Defensive,Household & Personal Products,USA,7.03B,100.24,8.32,0.60%,"4,347,411"
1610,COUP,Coupa Software Incorporated,Technology,Software - Application,USA,5.97B,-,78.43,-0.03%,"5,343,860"
1611,COUR,"Coursera, Inc.",Consumer Defensive,Education & Training Services,USA,1.79B,-,12.05,-1.47%,"314,072"
1612,COVAU,COVA Acquisition Corp.,Financial,Shell Companies,USA,-,18.20,10.50,-1.41%,"4,260"
1613,COW,iPath Series B Bloomberg Livestock Subindex Total Return ETN,Financial,Exchange Traded Fund,USA,-,-,40.38,0.05%,"1,878"
1614,COWN,Cowen Inc.,Financial,Capital Markets,USA,1.08B,9.87,38.64,0.05%,"194,953"
1615,COWZ,Pacer US Cash Cows 100 ETF,Financial,Exchange Traded Fund,USA,-,-,46.73,1.41%,"1,164,740"
1616,CP,Canadian Pacific Railway Limited,Industrials,Railroads,Canada,95.09B,23.98,75.48,0.69%,"1,215,853"
1617,CPA,"Copa Holdings, S.A.",Industrials,Airlines,Panama,3.78B,9.16,84.59,0.69%,"222,845"
1618,CPAC,Cementos Pacasmayo S.A.A.,Basic Materials,Building Materials,Peru,493.50M,9.21,5.37,-0.56%,"3,566"
1619,CPAR,Catalyst Partners Acquisition Corp.,Financial,Shell Companies,USA,452.67M,15.13,10.07,-0.05%,"2,504"
1620,CPARU,Catalyst Partners Acquisition Corp.,Financial,Shell Companies,USA,449.81M,-,10.07,0.40%,296
1622,CPE,Callon Petroleum Company,Energy,Oil & Gas E&P,USA,2.14B,1.82,36.26,4.29%,"1,200,311"
1623,CPER,"United States Copper Index Fund, LP",Financial,Exchange Traded Fund,USA,-,-,23.06,1.45%,"58,520"
1624,CPF,Central Pacific Financial Corp.,Financial,Banks - Regional,USA,534.24M,7.21,19.75,0.66%,"74,241"
1625,CPG,Crescent Point Energy Corp.,Energy,Oil & Gas E&P,Canada,5.10B,1.94,7.07,5.52%,"3,933,061"
1626,CPHC,Canterbury Park Holding Corporation,Consumer Cyclical,Gambling,USA,141.74M,10.87,28.75,-1.03%,"1,818"
1627,CPHI,"China Pharma Holdings, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,China,6.08M,-,0.12,-1.14%,"397,415"
1628,CPI,IQ Real Return ETF,Financial,Exchange Traded Fund,USA,-,-,24.86,0.23%,985
1629,CPII,Ionic Inflation Protection ETF,Financial,Exchange Traded Fund,USA,-,-,19.72,0.56%,6
1630,CPIX,Cumberland Pharmaceuticals Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,USA,32.30M,-,2.11,-5.59%,"1,904"
1631,CPK,Chesapeake Utilities Corporation,Utilities,Utilities - Regulated Gas,USA,2.10B,24.58,119.47,1.07%,"62,386"
1632,CPLP,Capital Product Partners L.P.,Industrials,Marine Shipping,Greece,274.41M,1.92,13.88,0.84%,"65,303"
1633,CPNG,"Coupang, Inc.",Consumer Cyclical,Internet Retail,South Korea,27.53B,-,15.13,-2.70%,"3,996,871"
1634,CPOP,"Pop Culture Group Co., Ltd",Communication Services,Entertainment,China,20.60M,21.82,0.83,-3.13%,"9,763"
1635,CPRI,Capri Holdings Limited,Consumer Cyclical,Apparel Manufacturing,United Kingdom,7.21B,10.31,55.70,-0.46%,"801,566"
1636,CPRT,"Copart, Inc.",Industrials,Specialty Business Services,USA,28.57B,27.11,60.51,0.88%,"1,024,987"
1637,CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,2.01B,31.27,19.01,-1.76%,"1,380,083"
1638,CPS,Cooper-Standard Holdings Inc.,Consumer Cyclical,Auto Parts,USA,109.07M,-,6.50,1.88%,"105,845"
1639,CPSH,CPS Technologies Corporation,Technology,Electronic Components,USA,40.09M,19.37,2.75,-1.08%,"27,035"
1640,CPSI,"Computer Programs and Systems, Inc.",Healthcare,Health Information Services,USA,390.32M,21.35,27.20,1.15%,"40,931"
1642,CPT,Camden Property Trust,Real Estate,REIT - Residential,USA,11.74B,14.65,111.31,1.04%,"472,118"
1643,CPTN,"Cepton, Inc.",Technology,Software - Application,USA,184.70M,4.07,1.16,-1.69%,"85,429"
1644,CPUH,Compute Health Acquisition Corp.,Financial,Shell Companies,USA,1.08B,32.45,10.06,0.10%,"25,680"
1645,CPZ,Calamos Long/Short Equity & Dynamic Income Term Trust,Financial,Closed-End Fund - Equity,USA,301.94M,2.68,15.38,-0.45%,"56,513"
1646,CQP,"Cheniere Energy Partners, L.P.",Energy,Oil & Gas Midstream,USA,28.46B,33.59,58.79,1.54%,"141,973"
1647,CQQQ,Invesco China Technology ETF,Financial,Exchange Traded Fund,USA,-,-,42.33,-0.96%,"99,937"
1648,CR,"Crane Holdings, Co.",Industrials,Specialty Industrial Machinery,USA,5.57B,15.28,99.49,0.34%,"101,759"
1649,CRAI,"CRA International, Inc.",Industrials,Consulting Services,USA,849.46M,20.27,119.98,0.78%,"27,956"
1650,CRAK,VanEck Oil Refiners ETF,Financial,Exchange Traded Fund,USA,-,-,31.00,1.43%,"3,055"
1651,CRBG,"Corebridge Financial, Inc.",Financial,Asset Management,USA,13.07B,1.13,20.27,0.90%,"1,077,972"
1652,CRBN,iShares MSCI ACWI Low Carbon Target ETF,Financial,Exchange Traded Fund,USA,-,-,138.46,0.59%,"8,723"
1653,CRBP,"Corbus Pharmaceuticals Holdings, Inc.",Healthcare,Biotechnology,USA,14.90M,-,0.12,0.34%,"1,068,122"
1654,CRBU,"Caribou Biosciences, Inc.",Healthcare,Biotechnology,USA,398.98M,-,6.16,-5.81%,"697,466"
1655,CRC,California Resources Corporation,Energy,Oil & Gas E&P,USA,3.07B,3.05,43.50,4.09%,"714,472"
1656,CRCT,"Cricut, Inc.",Technology,Computer Hardware,USA,2.09B,36.20,10.10,6.77%,"144,307"
1657,CRD-A,Crawford & Company,Financial,Insurance Brokers,USA,264.08M,12.07,5.55,3.74%,"29,300"
1658,CRD-B,Crawford & Company,Financial,Insurance Brokers,USA,257.01M,-,5.32,1.33%,"2,881"
1659,CRDF,"Cardiff Oncology, Inc.",Healthcare,Biotechnology,USA,56.70M,-,1.26,-0.79%,"85,234"
1660,CRDL,Cardiol Therapeutics Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,47.11M,-,0.53,-3.63%,"127,955"
1662,CREC,Crescera Capital Acquisition Corp.,Financial,Shell Companies,Brazil,274.34M,18.94,10.23,0.05%,63
1663,CREG,Smart Powerr Corp.,Industrials,Waste Management,China,19.49M,-,2.62,-1.32%,"5,943"
1664,CRESY,"Cresud Sociedad Anonima, Comercial, Inmobiliaria, Financiera y Agropecuaria",Consumer Defensive,Farm Products,Argentina,694.13M,1.97,6.17,0.82%,"92,675"
1665,CREX,"Creative Realities, Inc.",Technology,Software - Application,USA,12.91M,9.54,0.57,-2.97%,"32,030"
1666,CRF,"Cornerstone Total Return Fund, Inc.",Financial,Asset Management,USA,709.19M,4.42,7.30,0.97%,"504,648"
1667,CRGE,"Charge Enterprises, Inc.",Communication Services,Telecom Services,USA,297.60M,-,1.43,-0.69%,"188,093"
1668,CRGY,Crescent Energy Company,Energy,Oil & Gas E&P,USA,2.02B,1.85,12.62,4.38%,"282,750"
1669,CRH,CRH plc,Basic Materials,Building Materials,Ireland,29.49B,11.89,39.88,0.89%,"135,410"
1670,CRI,"Carter's, Inc.",Consumer Cyclical,Apparel Retail,USA,2.75B,11.03,73.36,1.82%,"368,598"
1671,CRIS,"Curis, Inc.",Healthcare,Biotechnology,USA,48.73M,-,0.49,-2.39%,"495,026"
1672,CRK,"Comstock Resources, Inc.",Energy,Oil & Gas E&P,USA,3.88B,3.92,14.58,4.29%,"3,149,789"
1673,CRKN,Crown ElectroKinetics Corp.,Basic Materials,Specialty Chemicals,USA,3.30M,-,0.16,0.80%,"922,156"
1674,CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,USA,11.11B,25.73,218.50,0.06%,"285,191"
1675,CRM,"Salesforce, Inc.",Technology,Software - Application,USA,129.19B,467.29,129.44,0.19%,"5,821,329"
1676,CRMD,CorMedix Inc.,Healthcare,Biotechnology,USA,163.50M,-,4.11,3.79%,"125,191"
1677,CRMT,"America's Car-Mart, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,424.55M,7.72,72.08,8.03%,"134,818"
1678,CRNC,Cerence Inc.,Technology,Software - Application,USA,734.05M,-,18.56,0.98%,"382,636"
1679,CRNT,Ceragon Networks Ltd.,Technology,Communication Equipment,Israel,162.60M,-,1.90,-1.55%,"209,336"
1680,CRNX,"Crinetics Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,891.61M,-,16.70,0.78%,"149,265"
1682,CROX,"Crocs, Inc.",Consumer Cyclical,Footwear & Accessories,USA,6.33B,11.36,103.00,0.54%,"1,241,770"
1683,CRPT,First Trust SkyBridge Crypto Industry and Digital Economy ETF,Financial,Exchange Traded Fund,USA,-,-,3.30,0.61%,"18,029"
1684,CRS,Carpenter Technology Corporation,Industrials,Metal Fabrication,USA,1.84B,-,37.80,-0.37%,"131,499"
1685,CRSP,CRISPR Therapeutics AG,Healthcare,Biotechnology,Switzerland,3.61B,-,44.09,-4.32%,"987,675"
1686,CRSR,"Corsair Gaming, Inc.",Technology,Computer Hardware,USA,1.42B,-,13.74,-1.79%,"433,521"
1687,CRT,Cross Timbers Royalty Trust,Energy,Oil & Gas E&P,USA,140.47M,14.11,25.04,7.01%,"66,681"
1688,CRTO,Criteo S.A.,Communication Services,Advertising Agencies,France,1.55B,25.39,25.97,0.89%,"298,509"
1689,CRUS,"Cirrus Logic, Inc.",Technology,Semiconductors,USA,4.16B,12.47,74.97,-0.86%,"229,166"
1690,CRUZ,"Defiance Hotel, Airline, and Cruise ETF",Financial,Exchange Traded Fund,USA,-,-,16.22,0.62%,"4,441"
1691,CRVL,CorVel Corporation,Financial,Insurance Brokers,USA,2.51B,39.65,143.90,-1.16%,"54,136"
1692,CRVS,"Corvus Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,38.41M,-,0.83,1.12%,"144,394"
1693,CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,USA,24.37B,-,101.99,-1.90%,"3,325,218"
1694,CRWS,"Crown Crafts, Inc.",Consumer Cyclical,Apparel Manufacturing,USA,53.69M,6.42,5.30,-0.19%,"164,241"
1695,CS,Credit Suisse Group AG,Financial,Banks - Diversified,Switzerland,12.03B,-,3.10,0.32%,"15,938,665"
1696,CSAN,Cosan S.A.,Energy,Oil & Gas Refining & Marketing,Brazil,6.05B,22.49,13.54,4.56%,"911,246"
1697,CSB,VictoryShares US Small Cap High Div Volatility Wtd ETF,Financial,Exchange Traded Fund,USA,-,-,51.86,1.07%,"41,397"
1698,CSBR,"Champions Oncology, Inc.",Healthcare,Biotechnology,USA,62.99M,1120.00,4.48,-3.66%,"7,904"
1699,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA,194.40B,17.18,47.48,0.34%,"9,554,363"
1700,CSD,Invesco S&P Spin-Off ETF,Financial,Exchange Traded Fund,USA,-,-,52.60,0.82%,"1,345"
1702,CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,USA,31.42B,89.82,76.89,-0.47%,"878,243"
1703,CSGS,"CSG Systems International, Inc.",Technology,Software - Infrastructure,USA,1.76B,43.64,56.82,1.43%,"90,592"
1704,CSII,"Cardiovascular Systems, Inc.",Healthcare,Medical Devices,USA,556.64M,-,13.32,0.23%,"227,636"
1705,CSIQ,Canadian Solar Inc.,Technology,Solar,Canada,2.05B,11.15,31.02,-2.94%,"629,177"
1706,CSL,Carlisle Companies Incorporated,Industrials,Building Products & Equipment,USA,12.26B,14.33,237.89,0.38%,"119,990"
1707,CSLM,"Consilium Acquisition Corp I, Ltd.",Financial,Shell Companies,USA,241.00M,508.00,10.16,0.40%,8
1708,CSM,ProShares Large Cap Core Plus,Financial,Exchange Traded Fund,USA,-,-,45.02,0.62%,"4,241"
1709,CSML,IQ Chaikin U.S. Small Cap ETF,Financial,Exchange Traded Fund,USA,-,-,31.90,0.49%,"21,645"
1710,CSPI,CSP Inc.,Technology,Information Technology Services,USA,41.86M,22.77,9.45,2.83%,"6,981"
1711,CSQ,Calamos Strategic Total Return Fund,Financial,Closed-End Fund - Debt,USA,2.47B,2.05,13.36,-0.37%,"268,581"
1712,CSR,Centerspace,Real Estate,REIT - Residential,USA,902.55M,-,60.21,0.53%,"35,816"
1713,CSSE,"Chicken Soup for the Soul Entertainment, Inc.",Communication Services,Broadcasting,USA,110.50M,-,5.13,-3.57%,"59,837"
1714,CSTE,Caesarstone Ltd.,Industrials,Building Products & Equipment,Israel,197.93M,14.36,5.83,1.57%,"35,737"
1715,CSTL,"Castle Biosciences, Inc.",Healthcare,Diagnostics & Research,USA,623.49M,-,23.23,-1.82%,"101,763"
1716,CSTM,Constellium SE,Basic Materials,Aluminum,France,1.68B,5.85,11.75,0.77%,"289,408"
1717,CSTR,"CapStar Financial Holdings, Inc.",Financial,Banks - Regional,USA,383.77M,9.46,17.58,0.40%,"45,255"
1718,CSV,"Carriage Services, Inc.",Consumer Cyclical,Personal Services,USA,401.61M,9.77,27.47,0.62%,"87,747"
1719,CSWC,Capital Southwest Corporation,Financial,Asset Management,USA,506.89M,9.67,17.30,0.76%,"420,329"
1720,CSWI,"CSW Industrials, Inc.",Industrials,Specialty Industrial Machinery,USA,1.78B,22.39,117.17,1.98%,"31,377"
1722,CTA,Simplify Managed Futures Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,27.02,1.27%,"135,535"
1723,CTAQ,Carney Technology Acquisition Corp. II,Financial,Shell Companies,USA,527.48M,56.33,10.14,-1.56%,985
1724,CTAQU,Carney Technology Acquisition Corp. II,Financial,Shell Companies,USA,519.29M,95.85,10.16,-2.78%,300
1725,CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,45.95B,37.16,457.24,1.05%,"205,091"
1726,CTBB,Qwest Corp. NT,Financial,Exchange Traded Fund,USA,-,-,17.11,0.47%,"76,323"
1727,CTBI,"Community Trust Bancorp, Inc.",Financial,Banks - Regional,USA,818.13M,10.37,45.68,0.07%,"24,401"
1728,CTEC,Global X CleanTech ETF,Financial,Exchange Traded Fund,USA,-,-,14.96,-1.32%,"9,429"
1729,CTG,"Computer Task Group, Incorporated",Technology,Information Technology Services,USA,108.07M,7.27,6.81,-1.02%,"11,744"
1730,CTHR,"Charles & Colvard, Ltd.",Consumer Cyclical,Luxury Goods,USA,25.20M,41.00,0.82,-1.19%,"64,074"
1731,CTIB,Yunhong CTI Ltd.,Consumer Cyclical,Auto Parts,USA,16.90M,-,1.05,0.00%,"82,873"
1732,CTIC,CTI BioPharma Corp.,Healthcare,Biotechnology,USA,723.29M,-,5.63,-1.23%,"1,539,044"
1733,CTKB,"Cytek Biosciences, Inc.",Healthcare,Medical Devices,USA,1.39B,-,10.12,-1.65%,"261,623"
1734,CTLP,"Cantaloupe, Inc.",Technology,Information Technology Services,USA,287.70M,-,4.12,1.98%,"249,554"
1735,CTLT,"Catalent, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,7.74B,18.54,43.35,0.81%,"1,080,504"
1736,CTM,"Castellum, Inc.",Technology,Information Technology Services,USA,46.40M,-,1.22,9.20%,"146,044"
1737,CTMX,"CytomX Therapeutics, Inc.",Healthcare,Biotechnology,USA,101.11M,-,1.55,1.31%,"404,966"
1738,CTO,"CTO Realty Growth, Inc.",Real Estate,Real Estate - Development,USA,406.57M,116.84,18.11,-0.28%,"178,489"
1739,CTOS,"Custom Truck One Source, Inc.",Industrials,Rental & Leasing Services,USA,1.49B,361.18,6.14,1.66%,"129,649"
1740,CTR,ClearBridge MLP and Midstream Total Return Fund Inc.,Financial,Closed-End Fund - Equity,USA,197.80M,2.45,28.25,1.04%,"102,060"
1742,CTRE,"CareTrust REIT, Inc.",Real Estate,REIT - Healthcare Facilities,USA,1.82B,-,18.93,0.91%,"329,576"
1743,CTRM,Castor Maritime Inc.,Industrials,Marine Shipping,Cyprus,106.90M,1.04,1.12,-0.88%,"966,763"
1744,CTRN,"Citi Trends, Inc.",Consumer Cyclical,Apparel Retail,USA,226.40M,3.70,27.61,1.92%,"70,286"
1745,CTS,CTS Corporation,Technology,Electronic Components,USA,1.22B,23.31,38.91,1.57%,"79,876"
1746,CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,USA,28.50B,12.47,56.02,1.01%,"2,155,821"
1747,CTSO,Cytosorbents Corporation,Healthcare,Medical Devices,USA,59.79M,-,1.40,2.19%,"94,302"
1748,CTV,Innovid Corp.,Communication Services,Advertising Agencies,USA,255.31M,-,1.75,-8.38%,"125,376"
